service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SUN,0,0,0,0,0,0,1,20241105,20250305
MONSAT,1,1,1,1,1,1,0,20241105,20250305
MONTHURS,1,1,1,1,0,0,0,20241105,20250305
WEEKDAY,1,1,1,1,1,0,0,20241105,20250305
FRISUN,0,0,0,0,1,1,1,20241105,20250305
PUBLICHOLIDAY,1,1,1,1,1,1,1,20241105,20250305
WEEKEND,0,0,0,0,0,1,1,20241105,20250305
ALLDAY,1,1,1,1,1,1,1,20241105,20250305
FRISAT,0,0,0,0,1,1,0,20241105,20250305
SUNTHURS,1,1,1,1,0,0,1,20241105,20250305
FRIDAY,0,0,0,0,1,0,0,20241105,20250305
MONWED,1,1,1,0,0,0,0,20241105,20250305
SATTHURS,1,1,1,1,0,1,1,20241105,20250305
THURSSUN,0,0,0,1,1,1,1,20241105,20250305
SAT,0,0,0,0,0,1,0,20241105,20250305
THURSSUNPH,0,0,0,1,1,1,1,20241105,20250305
PUBLICHOLIDAYSABAH,1,1,1,1,1,1,1,20241105,20250305
PUBLICHOLIDAYSINGAPORE,1,1,1,1,1,1,1,20241105,20250305
